Class Suffix,Label,Severity,Message
PMD_0001004,viscometer,Violation,Class 'PMD_0001004' ('viscometer') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020136,phase transformation,Violation,Class 'PMD_0020136' ('phase transformation') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_30452,tellurium atom,Violation,Class 'CHEBI_30452' ('tellurium atom') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
IAO_0020010,identifier creating process,Violation,Class 'IAO_0020010' ('identifier creating process') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050147,phosphate-based bioactive glass,Violation,Class 'PMD_0050147' ('phosphate-based bioactive glass') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
OBI_0200042,hierarchical clustering [obi],Violation,Class 'OBI_0200042' ('hierarchical clustering [obi]') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
BFO_0000001,entity,Violation,Class 'BFO_0000001' ('entity') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_30217,helium atom,Violation,Class 'CHEBI_30217' ('helium atom') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020149,metastable phase,Violation,Class 'PMD_0020149' ('metastable phase') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020170,ingot,Violation,Class 'PMD_0020170' ('ingot') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_30514,caesium atom,Violation,Class 'CHEBI_30514' ('caesium atom') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020155,interatomic interaction energy,Violation,Class 'PMD_0020155' ('interatomic interaction energy') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_38418,"1,3-thiazoles",Violation,"Class 'CHEBI_38418' ('1,3-thiazoles') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn."
BFO_0000030,object,Violation,Class 'BFO_0000030' ('object') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0010018,palladium metal,Violation,Class 'PMD_0010018' ('palladium metal') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_25699,organic ion,Violation,Class 'CHEBI_25699' ('organic ion') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000595,defect density,Violation,Class 'PMD_0000595' ('defect density') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
