Class Suffix,Label,Severity,Message
CHEBI_33387,neptunium atom,Violation,Class is missing curation status (obo:IAO_0000114).
IAO_0000102,data about an ontology part,Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_30452,tellurium atom,Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_27594,carbon atom,Violation,Class is missing curation status (obo:IAO_0000114).
PATO_0001025,pressure [pato],Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000213,laser-induced breakdown spectroscopy [ifnano],Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000181,reinforcing material [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
IAO_0020010,identifier creating process,Violation,Class is missing curation status (obo:IAO_0000114).
BFO_0000011,spatiotemporal region,Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_33325,radium atom,Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_30513,antimony atom,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000026,agent [ita],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_38179,monocyclic heteroarene,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000111,energy cost [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
PATO_0002182,molecular quality,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000281,agglomerate [dik],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_24859,iodine atom,Violation,Class is missing curation status (obo:IAO_0000114).
OBI_0000260,plan,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000164,calandar [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_33346,rutherfordium atom,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_84292,dithiocarbamate anions,Violation,Class is missing curation status (obo:IAO_0000114).
BFO_0000001,entity,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000177,natural rubber [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_30217,helium atom,Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000125,finished product [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000106,cost [hsh],Violation,Class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000016,distance between sensor and extrudate [imr],Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_30514,caesium atom,Violation,Class is missing curation status (obo:IAO_0000114).
CHEBI_38418,"1,3-thiazoles",Violation,Class is missing curation status (obo:IAO_0000114).
