Class Suffix,Contributor,Label,Parent,Definition
DIGITRUBBER_000456,Alexander Aschemann,temperature sensor [dik],sensor [chmo],
DIGITRUBBER_000426,Alexander Aschemann,pin extruder [dik],extruder,
CHEBI_33394,,fermium,metal atom,
DIGITRUBBER_000003,,geometry [imr],data item,
CHEBI_33319,,lanthanoid atom,metal atom,
CHEBI_33385,,thorium,metal atom,
CHEBI_33351,,seaborgium atom,metal atom,
CHEBI_33396,,nobelium,metal atom,
CHEBI_27594,,carbon atom,nonmetal atom,
DIGITRUBBER_000460,Alexander Aschemann,feeding roll [dik],device,
DIGITRUBBER_000524,Alexander Aschemann,Mooney unit [dik],measurement unit label,
DIGITRUBBER_000457,Alexander Aschemann,gearbox [dik],device,
CHEBI_23116,,chlorine atom,nonmetal atom,
DIGITRUBBER_000367,Alexander Aschemann,setting roll temperature control unit [dik],device,
CHEBI_27573,,silicon atom,nonmetal atom,
CHEBI_28694,,copper atom,metal atom,
CHEBI_37376,,tetraphosphorus decaoxide,molecular entity,
DIGITRUBBER_000311,,zinc oxide [dik],chemical substance,
CHEBI_30145,,lithium atom,metal atom,
DIGITRUBBER_000605,Alexander Aschemann,group [dik],chemical entity,
DIGITRUBBER_000470,Alexander Aschemann,pin zone temperature control unit [dik],device,
CHEBI_33391,,berkelium atom,metal atom,
CHEBI_38179,,monocyclic heteroarene,heteroarene,
CHEBI_26833,,sulfur atom,chalcogen,
DIGITRUBBER_000365,Alexander Aschemann,temperature control unit [dik],device,
CHEBI_25585,,nonmetal atom,atom,
DIGITRUBBER_000466,Alexander Aschemann,screw temperature control unit [dik],device,
CHEBI_22977,,cadmium atom,metal atom,
DIGITRUBBER_000395,Alexander Aschemann,torque [dik],extensive quality,
CHEBI_33369,,cerium,lanthanoid atom,
CHEBI_33392,,californium atom,metal atom,
DIGITRUBBER_000580,Alexander Aschemann,viscometer [dik],device,
DIGITRUBBER_000464,Alexander Aschemann,feeding roll temperature control unit [dik],device,
DIGITRUBBER_000388,Alexander Aschemann,rotor temperature [dik],device specification,
DIGITRUBBER_000450,Alexander Aschemann,extrudate cross section [dik],fiat object part,
DIGITRUBBER_000323,Alexander Aschemann,thiuram [dik],vulcanisation accelerator [dik],
UO_1000164,,mass volume percentage based unit,unit,
CHEBI_33337,,actinium atom,metal atom,
CHEBI_33379,,erbium,lanthanoid atom,
CHEBI_51143,,nitrogen molecular entity,pnictogen molecular entity,
CHEBI_25107,,magnesium atom,metal atom,
CHEBI_33415,,elemental carbon,organic molecular entity,
CHEBI_30187,,aluminium oxide,molecular entity,
DIGITRUBBER_000419,Alexander Aschemann,mixing time [dik],temporal interval,
DIGITRUBBER_000566,Alexander Aschemann,setting point [dik],plan specification,
CHEBI_17051,,fluoride,molecular entity,
CHEBI_33389,,americium atom,metal atom,
DIGITRUBBER_000421,Alexander Aschemann,number of mixing stages [dik],measurement datum,
