Class Suffix,Contributor,Label,Parent,Definition
CHEBI_33394,,fermium,metal atom,
CHEBI_33319,,lanthanoid atom,metal atom,
CHEBI_33385,,thorium,metal atom,
CHEBI_33351,,seaborgium atom,metal atom,
CHEBI_33396,,nobelium,metal atom,
CHEBI_27594,,carbon atom,nonmetal atom,
CHEBI_23116,,chlorine atom,nonmetal atom,
CHEBI_27573,,silicon atom,nonmetal atom,
CHEBI_28694,,copper atom,metal atom,
CHEBI_37376,,tetraphosphorus decaoxide,molecular entity,
CHEBI_30145,,lithium atom,metal atom,
CHEBI_33363,,palladium,metal atom,Chemical element (nickel group element atom) with atomic number 46.
CHEBI_33391,,berkelium atom,metal atom,
CHEBI_26833,,sulfur atom,chalcogen,
CHEBI_25585,,nonmetal atom,atom,
UO_0000076,,mole fraction,mole fraction based unit,A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution.
PMD_0010022,,containing magnetic species,material property,"A material property that inheres in a material entity in virtue of the presence of one or more magnetic species (e.g. ferromagnetic, paramagnetic, or diamagnetic particles or atoms), and that manifests under appropriate conditions as the ability of that material entity to exhibit a magnetic response or influence in a magnetic field."
CHEBI_22977,,cadmium atom,metal atom,
CHEBI_33369,,cerium,lanthanoid atom,
CHEBI_33392,,californium atom,metal atom,
UO_1000164,,mass volume percentage based unit,unit,
PMD_0010013,,hardenable,material property,a disposition to gain a greatly increased hardness at the surface or entire volume by the process of hardening
CHEBI_33337,,actinium atom,metal atom,
CHEBI_33379,,erbium,lanthanoid atom,
CHEBI_25107,,magnesium atom,metal atom,
CHEBI_30187,,aluminium oxide,molecular entity,
CHEBI_17051,,fluoride,molecular entity,
CHEBI_33250,,atom,chemical entity,A chemical entity constituting the smallest component of an element having the chemical properties of the element.
CHEBI_33389,,americium atom,metal atom,
CHEBI_33359,,rhodium atom,metal atom,A cobalt group element atom of atomic number 45.
CHEBI_25016,,lead atom,metal atom,
CHEBI_194537,,livermorium atom,chalcogen,A chalcogen atom with a symbol Lv and atomic number 116.
CHEBI_49475,,argon atom,molecular entity,
CHEBI_27560,,boron atom,metalloid atom,
CHEBI_30687,,osmium atom,metal atom,
UO_0000163,,mass percentage,mass percentage based unit,A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture.
CHEBI_53284,,polyurethane macromolecule,macromolecule,A homopolymer macromolecule composed of units connected by carbamate (-O-CO-NH-) linkages.
CHEBI_33341,,titanium atom,metal atom,
CHEBI_33355,,bohrium atom,metal atom,
CHEBI_33393,,einsteinium atom,metal atom,
CHEBI_33367,,darmstadtium,metal atom,
CHEBI_49637,,hydrogen atom,nonmetal atom,
CHEBI_27698,,vanadium atom,metal atom,
CHEBI_33390,,curium atom,metal atom,
CHEBI_26708,,sodium atom,metal atom,
CHEBI_24859,,iodine atom,nonmetal atom,Chemical element with atomic number 53.
CHEBI_28073,,chromium atom,metal atom,A chromium group element atom that has atomic number 24.
CHEBI_74236,,polymerisation monomer,role,Any compound used as a monomer for a polymerisation process. The term is generally used in relation to industrial polymerisation processes.
CHEBI_32999,,europium atom,lanthanoid atom,
CHEBI_33310,,neon atom,molecular entity,
CHEBI_25195,,mercury atom,metal atom,
OBI_0000202,,investigation agent role,role,"A role borne by an entity and that is realized in a process that is part of an investigation in which an objective is achieved. These processes include, among others: planning, overseeing, funding, reviewing."
CHEBI_33368,,roentgenium atom,metal atom,"A copper group element atom with atomic number 111. The the ninth member of the 6d series of transition metals, it is an extremely radioactive, synthetic element. Average mass is around 281."
OBI_0001931,,scalar value specification,value specification,A value specification that consists of two parts: a numeral and a unit label
CHEBI_33521,,metal atom,atom,"An atom of an element that exhibits typical metallic properties, being typically shiny, with high electrical and thermal conductivity."
CHEBI_27638,,cobalt atom,metal atom,A cobalt group element atom that has atomic number 27.
CHEBI_194535,,moscovium atom,metal atom,A pnictogen atom with a symbol Mc and atomic number 115.
CHEBI_30682,,ruthenium atom,metal atom,
CHEBI_33517,,copernicium atom,metal atom,"A zinc group element atom with a symbol Cn and atomic number 112. All its isotopes are intensely radioactive. Prior to its discovery, it had the placeholder name ununbium (in accordance with IUPAC recommendations). Following its discovery (in Darmstadt, 1996) and subsequent confirmation, the name copernicium was adopted in 2010."
CHEBI_22927,,bromine atom,nonmetal atom,
CHEBI_25805,,oxygen atom,nonmetal atom,
PMD_0000881,,,object,
CHEBI_33388,,plutonium atom,metal atom,
