Class Suffix,Label,Severity,Message
DIGITRUBBER_000181,reinforcing material [hsh],Violation,Class 'reinforcing material [hsh]' is missing a de definition (obo:IAO_0000115).
IAO_0020010,identifier creating process,Violation,Class 'identifier creating process' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000334,sulfur [dik],Violation,Class 'sulfur [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000086,surface topography,Violation,Class 'surface topography' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000164,calandar [hsh],Violation,Class 'calandar [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,Class 'semi-finished product [hsh]' is missing a de definition (obo:IAO_0000115).
OBI_0200042,hierarchical clustering [obi],Violation,Class 'hierarchical clustering [obi]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000048,E dash 60 degree celcius [Arlanxeo],Violation,Class 'E dash 60 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000150,throughput [hsh],Violation,Class 'throughput [hsh]' is missing a de definition (obo:IAO_0000115).
IAO_0000309,diagram,Violation,Class 'diagram' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000032,cis content [Arlanxeo],Violation,Class 'cis content [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
OBI_0200111,data visualization,Violation,Class 'data visualization' is missing a de definition (obo:IAO_0000115).
OBI_0000453,measure function,Violation,Class 'measure function' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000047,E dash 23 degree celcius [Arlanxeo],Violation,Class 'E dash 23 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000004,raw polymer [Arlanxeo],Violation,Class 'raw polymer [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
PATO_0001739,radiation quality,Violation,Class 'radiation quality' is missing a de definition (obo:IAO_0000115).
CHEBI_33832,organic cyclic compound,Violation,Class 'organic cyclic compound' is missing a de definition (obo:IAO_0000115).
OBI_0200175,class discovery data transformation,Violation,Class 'class discovery data transformation' is missing a de definition (obo:IAO_0000115).
OBI_0000953,processed specimen [obi],Violation,Class 'processed specimen [obi]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000071,ingredient specification,Violation,Class 'ingredient specification' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000136,quality inspector [hsh],Violation,Class 'quality inspector [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000123,raw material [hsh],Violation,Class 'raw material [hsh]' is missing a de definition (obo:IAO_0000115).
APOLLO_SV_00000008,software development,Violation,Class 'software development' is missing a de definition (obo:IAO_0000115).
OBI_0200171,partitioning data transformation,Violation,Class 'partitioning data transformation' is missing a de definition (obo:IAO_0000115).
IAO_0000005,objective specification,Violation,Class 'objective specification' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000179,synthetic rubber [hsh],Violation,Class 'synthetic rubber [hsh]' is missing a de definition (obo:IAO_0000115).
STATO_0000047,count [ms],Violation,Class 'count [ms]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000533,measurement protocol [dik],Violation,Class 'measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000162,tire-building machine [hsh],Violation,Class 'tire-building machine [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000088,sieving process,Violation,Class 'sieving process' is missing a de definition (obo:IAO_0000115).
PATO_0000052,shape [pato],Violation,Class 'shape [pato]' is missing a de definition (obo:IAO_0000115).
PATO_0000052,shape [pato],Violation,Class 'shape [imr]' is missing a de definition (obo:IAO_0000115).
CHEBI_48901,thiazoles [chebi],Violation,Class 'thiazoles [chebi]' is missing a de definition (obo:IAO_0000115).
OBI_0000749,CART,Violation,Class 'CART' is missing a de definition (obo:IAO_0000115).
PATO_0002198,quality of a substance [pato],Violation,Class 'quality of a substance [pato]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000112,material cost [hsh],Violation,Class 'material cost [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000643,functional group [ifnano],Violation,Class 'functional group [ifnano]' is missing a de definition (obo:IAO_0000115).
result#AFR_0002036,concentration datum [allotrope],Violation,Class 'concentration datum [allotrope]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000070,objective specification set,Violation,Class 'objective specification set' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000011,vulcanization [Arlanxeo],Violation,Class 'vulcanization [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
IAO_0000003,measurement unit label,Violation,Class 'measurement unit label' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000589,concentration measurement assay [dik],Violation,Class 'concentration measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
OBI_0200051,principal components analysis dimensionality reduction [obi],Violation,Class 'principal components analysis dimensionality reduction [obi]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000053,elastic modulus G dash zero point five percent measurement1 [Arlanxeo],Violation,Class 'elastic modulus G dash zero point five percent measurement1 [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
CHEBI_33304,chalcogen molecular entity,Violation,Class 'chalcogen molecular entity' is missing a de definition (obo:IAO_0000115).
OBI_0200033,leave one out cross validation method,Violation,Class 'leave one out cross validation method' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000059,mass pressure 2 [Arlanxeo],Violation,Class 'mass pressure 2 [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000025,dynamic mechanical thermal analysis [Arlanxeo],Violation,Class 'dynamic mechanical thermal analysis [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
CHMO_0000258,laser-induced breakdown spectroscopy [chmo],Violation,Class 'laser-induced breakdown spectroscopy [chmo]' is missing a de definition (obo:IAO_0000115).
