Class Suffix,Label,Severity,Message
PMD_0020136,phase transformation,Violation,Class is missing a German (de) label.
CHEBI_30452,tellurium atom,Violation,Class is missing a German (de) label.
IAO_0020010,identifier creating process,Violation,Class is missing a German (de) label.
PMD_0050147,phosphate-based bioactive glass,Violation,Class is missing a German (de) label.
OBI_0200042,hierarchical clustering [obi],Violation,Class is missing a German (de) label.
BFO_0000001,entity,Violation,Class is missing a German (de) label.
CHEBI_30217,helium atom,Violation,Class is missing a German (de) label.
PMD_0020149,metastable phase,Violation,Class is missing a German (de) label.
DIGITRUBBER_000016,distance between sensor and extrudate [imr],Violation,Class is missing a German (de) label.
DIGITRUBBER_1000048,E dash 60 degree celcius [Arlanxeo],Violation,Class is missing a German (de) label.
CHEBI_30514,caesium atom,Violation,Class is missing a German (de) label.
PMD_0020155,interatomic interaction energy,Violation,Class is missing a German (de) label.
DIGITRUBBER_000597,ethylene group [dik],Violation,Class is missing a German (de) label.
CHEBI_38418,"1,3-thiazoles",Violation,Class is missing a German (de) label.
BFO_0000030,object,Violation,Class is missing a German (de) label.
PMD_0010018,palladium metal,Violation,Class is missing a German (de) label.
CHEBI_25699,organic ion,Violation,Class is missing a German (de) label.
PMD_0000595,defect density,Violation,Class is missing a German (de) label.
PMD_0020244,flux,Violation,Class is missing a German (de) label.
PMD_0010022,containing magnetic species,Violation,Class is missing a German (de) label.
PMD_0010033,polymerization,Violation,Class is missing a German (de) label.
IAO_0000309,diagram,Violation,Class is missing a German (de) label.
PMD_0010000,corrosion resistant,Violation,Class is missing a German (de) label.
DIGITRUBBER_1000032,cis content [Arlanxeo],Violation,Class is missing a German (de) label.
OBI_0200111,data visualization,Violation,Class is missing a German (de) label.
CHEBI_25585,nonmetal atom,Violation,Class is missing a German (de) label.
PMD_0020210,elemental crystal,Violation,Class is missing a German (de) label.
OBI_0000453,measure function,Violation,Class is missing a German (de) label.
DIGITRUBBER_1000047,E dash 23 degree celcius [Arlanxeo],Violation,Class is missing a German (de) label.
DIGITRUBBER_1000004,raw polymer [Arlanxeo],Violation,Class is missing a German (de) label.
PMD_0020137,stable phase,Violation,Class is missing a German (de) label.
PMD_0020207,amount of substance,Violation,Class is missing a German (de) label.
PATO_0001739,radiation quality,Violation,Class is missing a German (de) label.
PMD_0050033,styrene-butadiene rubber,Violation,Class is missing a German (de) label.
PMD_0000882,phase boundary (realization),Violation,Class is missing a German (de) label.
CHEBI_194541,oganesson atom,Violation,Class is missing a German (de) label.
CHEBI_33396,nobelium,Violation,Class is missing a German (de) label.
PMD_0000123,doc string,Violation,Class is missing a German (de) label.
CHEBI_33832,organic cyclic compound,Violation,Class is missing a German (de) label.
BFO_0000027,object aggregate,Violation,Class is missing a German (de) label.
PMD_0010100,elemental semiconductor,Violation,Class is missing a German (de) label.
PMD_0020079,portion of arsenic,Violation,Class is missing a German (de) label.
OBI_0200175,class discovery data transformation,Violation,Class is missing a German (de) label.
DIGITRUBBER_1000040,rebound mean value 1 [Arlanxeo],Violation,Class is missing a German (de) label.
UO_1000164,mass volume percentage based unit,Violation,Class is missing a German (de) label.
OBI_0000953,processed specimen [obi],Violation,Class is missing a German (de) label.
PMD_0020172,sheet,Violation,Class is missing a German (de) label.
PMD_0000012,workflow definition,Violation,Class is missing a German (de) label.
PMD_0000008,process attribute,Violation,Class is missing a German (de) label.
PMD_0000885,pole figure,Violation,Class is missing a German (de) label.
PMD_0050089,yttrium barium copper oxide ceramic,Violation,Class is missing a German (de) label.
PMD_0020247,dispersion,Violation,Class is missing a German (de) label.
PMD_0000620,electrical conductivity,Violation,Class is missing a German (de) label.
PMD_0050019,polyethylene terephthalate,Violation,Class is missing a German (de) label.
PMD_0020143,process chain,Violation,Class is missing a German (de) label.
PMD_0020187,copper alloy,Violation,Class is missing a German (de) label.
DIGITRUBBER_1000044,S300 [Arlanxeo],Violation,Class is missing a German (de) label.
PMD_0000517,acoustic wave,Violation,Class is missing a German (de) label.
PMD_0050084,lead zirconate titanate ceramic,Violation,Class is missing a German (de) label.
PMD_0020246,continous transport,Violation,Class is missing a German (de) label.
DIGITRUBBER_1000071,ingredient specification,Violation,Class is missing a German (de) label.
APOLLO_SV_00000008,software development,Violation,Class is missing a German (de) label.
OBI_0200171,partitioning data transformation,Violation,Class is missing a German (de) label.
PMD_0050145,45S5 bioglass,Violation,Class is missing a German (de) label.
PMD_0000955,structural material,Violation,Class is missing a German (de) label.
PMD_0020205,defect role,Violation,Class is missing a German (de) label.
IAO_0000005,objective specification,Violation,Class is missing a German (de) label.
PMD_0000636,extensometer,Violation,Class is missing a German (de) label.
STATO_0000047,count [ms],Violation,Class is missing a German (de) label.
PMD_0050091,bioceramic,Violation,Class is missing a German (de) label.
PMD_0050077,zirconia matrix composite,Violation,Class is missing a German (de) label.
PMD_0010015,gold metal,Violation,Class is missing a German (de) label.
PMD_0090009,carbon fiber reinforced polymer,Violation,Class is missing a German (de) label.
PATO_0000052,shape [pato],Violation,Class is missing a German (de) label.
PMD_0020159,daughter phase role,Violation,Class is missing a German (de) label.
PMD_0000104,ion-exchange hardening,Violation,Class is missing a German (de) label.
PMD_0050140,nonlinear optical glass,Violation,Class is missing a German (de) label.
CHEBI_48901,thiazoles [chebi],Violation,Class is missing a German (de) label.
CHEBI_5686,heterocyclic compound,Violation,Class is missing a German (de) label.
PMD_0000601,deterministic simulation,Violation,Class is missing a German (de) label.
PMD_0020069,portion of mercury,Violation,Class is missing a German (de) label.
OBI_0000749,CART,Violation,Class is missing a German (de) label.
PMD_0000661,glass,Violation,Class is missing a German (de) label.
PMD_0000768,half-life,Violation,Class is missing a German (de) label.
CHEBI_30430,indium atom,Violation,Class is missing a German (de) label.
PMD_0020044,portion of tantalum,Violation,Class is missing a German (de) label.
PMD_0020096,steel,Violation,Class is missing a German (de) label.
CHEBI_49637,hydrogen atom,Violation,Class is missing a German (de) label.
PATO_0002198,quality of a substance [pato],Violation,Class is missing a German (de) label.
CHEBI_33381,ytterbium,Violation,Class is missing a German (de) label.
DIGITRUBBER_000643,functional group [ifnano],Violation,Class is missing a German (de) label.
PMD_0020036,portion of rhenium,Violation,Class is missing a German (de) label.
PMD_0001999,hand held device,Violation,Class is missing a German (de) label.
PMD_0020214,diffraction,Violation,Class is missing a German (de) label.
PMD_0050060,titania ceramic,Violation,Class is missing a German (de) label.
result#AFR_0002036,concentration datum [allotrope],Violation,Class is missing a German (de) label.
