Class Suffix,Contributor,Label,Parent,Definition
PMD_0000868,,natural organic material,material,"Natural organic materials are materials derived from natural biological sources, primarily composed of carbon-based compounds."
PMD_0020213,,grain boundary,fiat surface,A grain boundary is a fiat surface that separates adjacent grains in a polycrystalline material and is characterized by structural discontinuity.
PMD_0000624,,electron microscope,microscope,A microscope that uses a beam of electrons to create high-resolution images of a sample's surface or structure.
PMD_0050119,,fused silica glass,silicate glass,"silicate glass that is essentially pure, amorphous SiO₂"
PMD_0000003,Clint Dowland,plan specification,directive information entity,"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified."
BFO_0000023,,role,realizable entity,"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."
PMD_0050050,,glass-ceramic,engineered material,"engenieered material that is inorganic, non‑metallic and prepared by controlled crystallization of glasses via different processing methods; they contain at least one type of functional crystalline phase and a residual glass, and the crystallized volume fraction may vary from ppm to almost 100%"
CHEBI_24431,,chemical entity,material entity,"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."
CHEBI_24433,Luis Ramos,group [chebi],chemical entity,A defined linked collection of atoms or a single atom within a molecular entity.
BFO_0000040,,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.
OBI_0000835,,manufacturer,material entity,A person or organization that has a manufacturer role
PMD_0000879,PERSON: Bjoern Peters,organization,material entity,"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."
PMD_0000531,,biocompatibility analyzing process,biological property analyzing process,A biological property analyzing process that evaluates the compatibility of a material with living tissues to ensure it does not provoke an adverse biological response.
PMD_0000997,,ultrasonic cleaner,cleaning device,A device that uses ultrasound and a cleaning solvent to clean delicate or complex items.
PMD_0000590,,cryogenic freezer,temperature change device,"A cryogenic freezer is a temperature change device that preserves materials at extremely low temperatures, often below -150°C."
NCIT_C48834,,correlation [ifnano],measurement datum,"The degree to which two or more quantities or events are associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others. The collelation can be described by mathematical functions  (often a linear function is used). It’s a common tool for describing simple relationships without making a statement about cause and effect."
CHEBI_23367,,molecular entity,chemical entity,"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."
OBI_0000070,PlanAndPlannedProcess Branch,assay [obi],completely executed planned process,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies."
OBI_0302911,,validation [obi],completely executed planned process,a planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results
UO_0000016,,millimeter [uo],measurement unit label,"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]"
PMD_0000858,,microtome,device,"A Microtome is a Measuring Device that cuts extremely thin slices of material, often for examination under a microscope."
CHEBI_59999,,chemical substance,portion of matter,"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."
