Class Suffix,Label,Severity,Message
DIGITRUBBER_000244,geometry correction [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000143,energy consumption [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000650,styrene-butadiene rubber SBR [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000150,throughput [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000269,Mooney viscosity [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000195,FTIR spectroscopy [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000177,natural rubber [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000017,extrudate norm [imr],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000112,material cost [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000645,EPDM rubber [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000647,nitrile rubber NBR [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000003,geometry [imr],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000006,triangulation [imr],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000019,standard deviation [Wikipedia],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000196,ATR-FTIR [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000136,quality inspector [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000239,digital image processing [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000022,camera coordinate system [jade],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000187,Raman spectroscopy [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000025,bundle adjustment method [jade],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000643,functional group [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000106,cost [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000226,photometric measurement process [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000009,surface of extrudate [imr],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000649,hydrogenated nitrile rubber HNBR [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000270,monomer [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000282,aggregate [dik],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000222,processed spectrum [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000181,reinforcing material [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000644,butyl rubber BIIR [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000024,camera calibration [jade],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000179,synthetic rubber [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000016,distance between sensor and extrudate [imr],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000281,agglomerate [dik],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000276,polymer composition [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000161,banbury mixer [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000221,raw spectrum [ifnano],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000171,tool [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
