Class Suffix,Label,Severity,Message
DIGITRUBBER_000561,mass-specific surface [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000527,quality of a liquid [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000535,manufacturing specification [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000445,screw speed [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000397,torque unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000436,haul-off speed [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000571,oil content [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000497,physical quality [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000556,mixing [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000419,mixing time [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000400,mass temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000369,setting roll temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000554,processed material [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000393,stamp temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000545,function [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000580,viscometer [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000524,Mooney unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000414,time of addition [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000605,group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000386,rotor speed [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000368,fixed roll temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000623,concentration [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000320,di(benzothiazol-2-yl)disulfide [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000525,quality of a substance [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000636,optical quality [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000395,torque [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000367,setting roll temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000388,rotor temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000340,product data sheet [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000581,Mooney shearing-disc viscometer [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000003,geometry [imr],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000598,hydrocarbylene group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000399,rotor torque [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000443,surface defect [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000356,setting roll speed [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000355,fixed roll speed [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000344,setting roll [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000426,pin extruder [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000365,temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000455,Pressure Sensor [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000467,screw temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000460,feeding roll [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000458,engine [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000323,thiuram [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000398,Newtonmeter [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000473,molding zone temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000394,stamp temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000438,mass throughput [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000603,organic group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000343,fixed roll [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000471,pin zone temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000334,sulfur [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000634,quality of a solid [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000412,stamp distance [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000588,ethylidene norbornene [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000384,drop door [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000582,curemeter [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000313,stearic acid [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000383,mixing chamber [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000474,vulcanization time [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000444,surface temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000016,distance between sensor and extrudate [imr],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000418,electrical power [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000470,pin zone temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000465,feeding roll temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000597,ethylene group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000385,stamp [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000600,organodiyl group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000425,single screw extruder [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000441,surface [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000324,tetrabenzylthiuramdisulfide [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000421,number of mixing stages [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000454,temperature measuring sword [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000439,pressure variation [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000389,mixing chamber temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000472,molding zone temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000468,feeding zone temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000328,zinc dibenzyldithiocarbamate [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000387,rotor temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000440,geometry variation [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000469,feeding zone temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000437,conveyor belt [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000450,extrudate cross section [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000464,feeding roll temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000466,screw temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000390,mixing chamber temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000339,safety data sheet [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000602,organic divalent group [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000457,gearbox [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000566,setting point [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000382,rotor [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000326,dithiocarbamate [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000449,die geometry [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000543,material processing [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000149,deprecated class,Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000456,temperature sensor [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000570,melting range [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000366,fixed roll temperature control unit [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000560,specific surface [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000392,drop door temperature [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000311,zinc oxide [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
DIGITRUBBER_000562,volume-specific surface [dik],Violation,DIGITRUBBER class is missing a definition (obo:IAO_0000115).
