Class Suffix,Label,Severity,Message
DIGITRUBBER_1000039,rebound mean value [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000598,hydrocarbylene group [dik],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000025,bundle adjustment method [jade],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000019,standard deviation [Wikipedia],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000008,solution SBR [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000025,dynamic mechanical thermal analysis [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000459,motor [envo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000644,butyl rubber BIIR [ifnano],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000036,ML1+1 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000060,quellung hausmethode K10-1 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000199,raw rubber samples [ifnano],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000041,rebound mean value 2 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000229,photometry [ifnano],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000049,E double dash 0 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000244,geometry correction [ifnano],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000057,masse pro messzeit 2 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000017,tread [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000004,raw polymer [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000047,E dash 23 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000046,E dash 0 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000602,organic divalent group [dik],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000647,nitrile rubber NBR [ifnano],Violation,DIGITRUBBER class is missing a German (de) label.
