Class Suffix,Label,Severity,Message
DIGITRUBBER_000598,hydrocarbylene group [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000296,carbon black [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000384,drop door [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000644,butyl rubber BIIR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000588,ethylidene norbornene [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000344,setting roll [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000469,feeding zone temperature [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_1000004,raw polymer [Arlanxeo],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000543,material processing [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000457,gearbox [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000468,feeding zone temperature control unit [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000602,organic divalent group [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000647,nitrile rubber NBR [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000643,functional group [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000645,EPDM rubber [ifnano],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000294,Keltan 5470C [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000596,molecular weight distribution measurement protocol [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000600,organodiyl group [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000578,modulus [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000291,M-group rubber [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000292,ethylene propylene diene rubber [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000581,Mooney shearing-disc viscometer [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000474,vulcanization time [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000281,agglomerate [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000290,synthetic rubber [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000441,surface [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
DIGITRUBBER_000583,oscillating-disc curemeter [dik],Violation,DIGITRUBBER class is missing pav:lastUpdateOn.
