Class Suffix,Label,Severity,Message
DIGITRUBBER_1000024,moving die rheometer [Arlanxeo],Violation,DigitRubber class 'moving die rheometer [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000020,loss modulus [Arlanxeo],Violation,DigitRubber class 'loss modulus [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000048,E dash 60 degree celcius [Arlanxeo],Violation,DigitRubber class 'E dash 60 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000000,weight averaged molecular weight [Arlanxeo],Violation,DigitRubber class 'weight averaged molecular weight [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000064,elastic torque at 90 percent [Arlanxeo],Violation,DigitRubber class 'elastic torque at 90 percent [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000019,elastic modulus [Arlanxeo],Violation,DigitRubber class 'elastic modulus [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000046,E dash 0 degree celcius [Arlanxeo],Violation,DigitRubber class 'E dash 0 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000028,elongation [Arlanxeo],Violation,DigitRubber class 'elongation [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000032,cis content [Arlanxeo],Violation,DigitRubber class 'cis content [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000068,tan d max [Arlanxeo],Violation,DigitRubber class 'tan d max [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000052,elastic modulus G dash 15 percent measurement1 [Arlanxeo],Violation,DigitRubber class 'elastic modulus G dash 15 percent measurement1 [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000033,trans content [Arlanxeo],Violation,DigitRubber class 'trans content [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000013,filler [Arlanxeo],Violation,DigitRubber class 'filler [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000051,E double dash 60 degree celcius [Arlanxeo],Violation,DigitRubber class 'E double dash 60 degree celcius [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_1000016,silane [Arlanxeo],Violation,DigitRubber class 'silane [Arlanxeo]' is missing a de definition (obo:IAO_0000115).
