Class Suffix,Label,Severity,Message
DIGITRUBBER_1000038,hardness mean value [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000024,moving die rheometer [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000020,loss modulus [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000048,E dash 60 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000000,weight averaged molecular weight [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000019,elastic modulus [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000046,E dash 0 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000028,elongation [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000032,cis content [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000068,tan d max [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000033,trans content [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000013,filler [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000051,E double dash 60 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000016,silane [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000042,S50 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000023,mechanical testing system [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000036,ML1+1 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000007,emulsion SBR [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000027,shearing [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000047,E dash 23 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000005,butadiene rubber [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000041,rebound mean value 2 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000003,molecular weight distribution [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000035,glass transition temperature [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000037,ML1+4 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000018,inner liner [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000015,silica [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000026,ramp [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000043,S100 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000055,LossModulus Gdouble dash(max) [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000001,number averaged molecular weight [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000006,styrene-butadiene rubber [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000054,F Median [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000011,vulcanization [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000017,tread [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000010,vulcanized compound [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000031,styrene content [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000014,carbon black [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000045,D Median [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000002,gel permeation chromatography method [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000021,Mooney viscosity [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000008,solution SBR [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000022,mooney stress relaxation [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000050,E double dash 23 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000040,rebound mean value 1 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000004,raw polymer [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000039,rebound mean value [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000044,S300 [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000012,parts per hundred rubber [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000034,vinyl content [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000049,E double dash 0 degree celcius [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000009,green compound [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000025,dynamic mechanical thermal analysis [Arlanxeo],Violation,DIGITRUBBER class is missing a German (de) label.
