Class Suffix,Label,Severity,Message
DIGITRUBBER_000391,drop door temperature control unit [dik],Violation,DigitRubber class 'drop door temperature control unit [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000334,sulfur [dik],Violation,DigitRubber class 'sulfur [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000592,molecular weight distribution measurement assay [dik],Violation,DigitRubber class 'molecular weight distribution measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000593,concentration measurement protocol [dik],Violation,DigitRubber class 'concentration measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000631,ethylene concentration [dik],Violation,DigitRubber class 'ethylene concentration [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000533,measurement protocol [dik],Violation,DigitRubber class 'measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000420,filling ratio [dik],Violation,DigitRubber class 'filling ratio [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000385,stamp [dik],Violation,DigitRubber class 'stamp [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000589,concentration measurement assay [dik],Violation,DigitRubber class 'concentration measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000538,Mooney viscosity measurement protocol [dik],Violation,DigitRubber class 'Mooney viscosity measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000632,ethylidene norbornene concentration [dik],Violation,DigitRubber class 'ethylidene norbornene concentration [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000561,mass-specific surface [dik],Violation,DigitRubber class 'mass-specific surface [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000595,ethylidene norbornene concentration measurement protocol [dik],Violation,DigitRubber class 'ethylidene norbornene concentration measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000536,density measurement protocol [dik],Violation,DigitRubber class 'density measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000313,stearic acid [dik],Violation,DigitRubber class 'stearic acid [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000506,density measurement assay [dik],Violation,DigitRubber class 'density measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000596,molecular weight distribution measurement protocol [dik],Violation,DigitRubber class 'molecular weight distribution measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000537,viscosity measurement protocol [dik],Violation,DigitRubber class 'viscosity measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000400,mass temperature [dik],Violation,DigitRubber class 'mass temperature [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000516,Mooney viscosity measurement assay [dik],Violation,DigitRubber class 'Mooney viscosity measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000345,rotational frequency [dik],Violation,DigitRubber class 'rotational frequency [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000594,ethylene concentration measurement protocol [dik],Violation,DigitRubber class 'ethylene concentration measurement protocol [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000439,pressure variation [dik],Violation,DigitRubber class 'pressure variation [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000590,ethylene concentration measurement assay [dik],Violation,DigitRubber class 'ethylene concentration measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000515,viscosity measurement assay [dik],Violation,DigitRubber class 'viscosity measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000440,geometry variation [dik],Violation,DigitRubber class 'geometry variation [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000438,mass throughput [dik],Violation,DigitRubber class 'mass throughput [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000591,ethylidene norbornene concentration measurement assay [dik],Violation,DigitRubber class 'ethylidene norbornene concentration measurement assay [dik]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000534,material processing protocol [dik],Violation,DigitRubber class 'material processing protocol [dik]' is missing a de definition (obo:IAO_0000115).
