Class Suffix,Label,Severity,Message
DIGITRUBBER_000164,calandar [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000180,filling material [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000112,material cost [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000123,raw material [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000143,energy consumption [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000135,warehouse clerk [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000117,turnover [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000129,operator [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000177,natural rubber [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000162,tire-building machine [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000131,supervisor [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000106,cost [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000136,quality inspector [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000150,throughput [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000108,cost group [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000171,tool [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000161,banbury mixer [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000111,energy cost [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000125,finished product [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000179,synthetic rubber [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000181,reinforcing material [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
DIGITRUBBER_000134,operational assistant [hsh],Violation,DIGITRUBBER class is missing curation status (obo:IAO_0000114).
