Class Suffix,Label,Severity,Message
DIGITRUBBER_000164,calandar [hsh],Violation,DigitRubber class 'calandar [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000180,filling material [hsh],Violation,DigitRubber class 'filling material [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000112,material cost [hsh],Violation,DigitRubber class 'material cost [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000123,raw material [hsh],Violation,DigitRubber class 'raw material [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000143,energy consumption [hsh],Violation,DigitRubber class 'energy consumption [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000135,warehouse clerk [hsh],Violation,DigitRubber class 'warehouse clerk [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000117,turnover [hsh],Violation,DigitRubber class 'turnover [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000129,operator [hsh],Violation,DigitRubber class 'operator [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000177,natural rubber [hsh],Violation,DigitRubber class 'natural rubber [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000162,tire-building machine [hsh],Violation,DigitRubber class 'tire-building machine [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000124,semi-finished product [hsh],Violation,DigitRubber class 'semi-finished product [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000131,supervisor [hsh],Violation,DigitRubber class 'supervisor [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000106,cost [hsh],Violation,DigitRubber class 'cost [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000136,quality inspector [hsh],Violation,DigitRubber class 'quality inspector [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000150,throughput [hsh],Violation,DigitRubber class 'throughput [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000108,cost group [hsh],Violation,DigitRubber class 'cost group [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000171,tool [hsh],Violation,DigitRubber class 'tool [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000161,banbury mixer [hsh],Violation,DigitRubber class 'banbury mixer [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000111,energy cost [hsh],Violation,DigitRubber class 'energy cost [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000125,finished product [hsh],Violation,DigitRubber class 'finished product [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000179,synthetic rubber [hsh],Violation,DigitRubber class 'synthetic rubber [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000181,reinforcing material [hsh],Violation,DigitRubber class 'reinforcing material [hsh]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000134,operational assistant [hsh],Violation,DigitRubber class 'operational assistant [hsh]' is missing a de definition (obo:IAO_0000115).
