Class Suffix,Label,Severity,Message
DIGITRUBBER_000048,rubber [ita],Violation,DigitRubber class 'rubber [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000091,tempering screw [ita],Violation,DigitRubber class 'tempering screw [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000089,screw speed [ita],Violation,DigitRubber class 'screw speed [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000093,tempering cylinder [ita],Violation,DigitRubber class 'tempering cylinder [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000099,outlet surface [ita],Violation,DigitRubber class 'outlet surface [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000094,cylinder pressure [ita],Violation,DigitRubber class 'cylinder pressure [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000100,Extrusion throughput [ita],Violation,DigitRubber class 'Extrusion throughput [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000084,stamp pressure [ita],Violation,DigitRubber class 'stamp pressure [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000096,extrusion pressure [ita],Violation,DigitRubber class 'extrusion pressure [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000026,agent [ita],Violation,DigitRubber class 'agent [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000081,rolling [ita],Violation,DigitRubber class 'rolling [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000055,microcontroller [ita],Violation,DigitRubber class 'microcontroller [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000092,tempering feed roller [ita],Violation,DigitRubber class 'tempering feed roller [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000047,industry 4.0 [ita],Violation,DigitRubber class 'industry 4.0 [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000064,online optimization [ita],Violation,DigitRubber class 'online optimization [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000095,tempering tool [ita],Violation,DigitRubber class 'tempering tool [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000082,twin screw extruder [ita],Violation,DigitRubber class 'twin screw extruder [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000041,elastomer [ita],Violation,DigitRubber class 'elastomer [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000083,mixing temperature [ita],Violation,DigitRubber class 'mixing temperature [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000063,online characterisation [ita],Violation,DigitRubber class 'online characterisation [ita]' is missing a de definition (obo:IAO_0000115).
DIGITRUBBER_000090,screw torque [ita],Violation,DigitRubber class 'screw torque [ita]' is missing a de definition (obo:IAO_0000115).
