Class Suffix,Label,Severity,Message
DIGITRUBBER_1000070,objective specification set,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000149,deprecated class,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000075,instruction step,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000071,ingredient specification,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000076,condition specification,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000227,measurement metadata,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000069,mixing recipe,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000083,rubber process analyzer,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000072,ingredient specification set,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000074,instruction set,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_000336,rubber compound recipe,Violation,DIGITRUBBER class is missing a German (de) label.
DIGITRUBBER_1000073,device specification set,Violation,DIGITRUBBER class is missing a German (de) label.
